path,slug,titulo,lines,exercicios,exemplos,portas,with_fonte,with_solucao,with_opcoes,passos,pct_passos,aplicacao,compreensao,modelagem,desafio,demonstracao,has_audio,has_fontes_section,books_header,n_flags,flags
content/aulas/ano-1/trim-3/licao-29-sistemas-lineares.mdx,"""licao-29-sistemas-lineares""","""Lição 29 — Sistemas de equações lineares 2×2 e 3×3""",1191,45,5,7,45,45,45,8,0.18,31,5,6,2,1,True,True,2,0,
content/aulas/ano-1/trim-3/licao-30-consolidacao-trim-3.mdx,"""licao-30-consolidacao-trim-3""","""Lição 30 — Consolidação Trim 3: geometria analítica, cônicas, vetores e sistemas""",1140,45,5,7,45,45,45,10,0.22,30,7,4,3,1,True,True,2,0,
content/aulas/ano-1/trim-4/licao-31-matrizes.mdx,"""licao-31-matrizes""","""Lição 31 — Introdução a matrizes""",1104,45,5,7,45,45,45,8,0.18,27,7,7,2,2,True,True,2,0,
content/aulas/ano-1/trim-4/licao-32-operacoes-matrizes.mdx,"""licao-32-operacoes-matrizes""","""Lição 32 — Operações com matrizes""",1341,55,5,7,55,55,55,12,0.22,35,4,12,2,2,True,True,2,0,
content/aulas/ano-1/trim-4/licao-33-transposta-inversa.mdx,"""licao-33-transposta-inversa""","""Lição 33 — Matriz transposta, identidade, inversa""",1209,45,5,7,45,45,45,11,0.24,34,5,3,2,1,True,True,3,0,
content/aulas/ano-1/trim-4/licao-34-determinantes.mdx,"""licao-34-determinantes""","""Lição 34 — Determinantes 2x2 e 3x3""",1162,45,5,7,45,45,45,12,0.27,27,7,7,2,2,True,True,3,0,
content/aulas/ano-1/trim-4/licao-35-sistemas-via-matrizes.mdx,"""licao-35-sistemas-via-matrizes""","""Lição 35 — Resolução de sistemas lineares via matrizes""",1199,50,5,7,50,50,50,8,0.16,7,27,11,3,2,True,True,2,2,MIX-OFF-aplicacao(14%)|MIX-OFF-compreensao(54%)
content/aulas/ano-1/trim-4/licao-36-pfc.mdx,"""licao-36-pfc""","""Lição 36 — Princípio Fundamental da Contagem""",1122,45,5,7,45,45,45,10,0.22,28,6,5,3,3,True,True,3,0,
content/aulas/ano-1/trim-4/licao-37-permutacoes-arranjos.mdx,"""licao-37-permutacoes-arranjos""","""Lição 37 — Permutações e arranjos""",1240,54,5,7,54,54,54,11,0.2,36,7,7,2,2,True,True,3,0,
content/aulas/ano-1/trim-4/licao-38-combinacoes.mdx,"""licao-38-combinacoes""","""Lição 38 — Combinações e binômio de Newton""",1175,45,5,7,45,45,45,11,0.24,27,7,7,2,2,True,True,3,0,
content/aulas/ano-1/trim-4/licao-39-probabilidade.mdx,"""licao-39-probabilidade""","""Lição 39 — Probabilidade clássica""",1091,44,5,7,44,44,44,11,0.25,27,7,7,2,1,True,True,3,0,
content/aulas/ano-1/trim-4/licao-40-consolidacao-anual.mdx,"""licao-40-consolidacao-anual""","""Lição 40 — Consolidação anual: workshop integrador Ano 1""",1172,45,5,7,45,45,45,8,0.18,24,12,5,4,0,True,True,3,1,MIX-OFF-demonstracao(0%)
content/aulas/ano-2/trim-5/licao-41-limite-formal.mdx,"""licao-41-limite-formal""","""Lição 41 — Limite formal: definição ε-δ""",1031,35,5,7,35,35,35,9,0.26,21,6,3,0,5,True,True,2,1,MIX-OFF-desafio(0%)
content/aulas/ano-2/trim-5/licao-42-propriedades-limites.mdx,"""licao-42-propriedades-limites""","""Lição 42 — Propriedades algébricas dos limites""",1163,45,5,7,45,45,45,9,0.2,34,5,2,4,0,True,True,3,1,MIX-OFF-demonstracao(0%)
content/aulas/ano-2/trim-5/licao-43-continuidade.mdx,"""licao-43-continuidade""","""Lição 43 — Continuidade de funções""",1233,45,5,7,45,45,45,8,0.18,27,9,4,4,1,True,True,3,0,
content/aulas/ano-2/trim-5/licao-44-limites-laterais.mdx,"""licao-44-limites-laterais""","""Lição 44 — Limites laterais e existência do limite bilateral""",1168,45,5,7,45,45,45,8,0.18,32,8,2,2,1,True,True,2,0,
content/aulas/ano-2/trim-5/licao-45-limites-fundamentais.mdx,"""licao-45-limites-fundamentais""","""Lição 45 — Limites fundamentais do cálculo""",1162,45,5,7,45,45,45,8,0.18,33,6,2,3,1,True,True,2,0,
content/aulas/ano-2/trim-5/licao-46-tvi-tvm.mdx,"""licao-46-tvi-tvm""","""Lição 46 — TVI e Taxa de Variação Média""",1169,45,5,7,45,45,45,8,0.18,27,6,7,4,1,True,True,3,0,
content/aulas/ano-2/trim-5/licao-47-assintotas.mdx,"""licao-47-assintotas""","""Lição 47 — Assíntotas e comportamento assintótico""",1207,45,5,7,45,45,45,8,0.18,27,6,7,2,3,True,True,2,0,
content/aulas/ano-2/trim-5/licao-48-limites-funcoes-trig.mdx,"""licao-48-limites-funcoes-trig""","""Lição 48 — Limites de funções trigonométricas""",1288,40,5,7,40,40,40,12,0.3,30,4,3,2,1,True,True,2,0,
content/aulas/ano-2/trim-5/licao-49-limite-sequencias.mdx,"""licao-49-limite-sequencias""","""Lição 49 — Limite de sequências (formalizado)""",1262,44,5,7,44,44,44,10,0.23,27,5,8,2,2,True,True,2,0,
content/aulas/ano-2/trim-5/licao-50-consolidacao-trim-5.mdx,"""licao-50-consolidacao-trim-5""","""Lição 50 — Consolidação Trim 5: limites e continuidade""",1327,50,5,7,50,50,50,11,0.22,26,8,6,8,2,True,True,2,0,
content/aulas/ano-2/trim-6/licao-51-derivada-definicao.mdx,"""licao-51-derivada-definicao""","""Lição 51 — Derivada: definição via limite""",1215,40,5,7,40,40,36,10,0.25,20,10,7,2,1,True,True,2,0,
content/aulas/ano-2/trim-6/licao-52-regras-derivacao.mdx,"""licao-52-regras-derivacao""","""Lição 52 — Regras de derivação""",1110,40,5,7,40,40,40,11,0.28,27,4,7,1,1,True,True,3,0,
content/aulas/ano-2/trim-6/licao-53-regra-cadeia.mdx,"""licao-53-regra-cadeia""","""Lição 53 — Regra da cadeia""",1169,40,5,7,40,40,40,11,0.28,26,4,6,3,1,True,True,3,0,
content/aulas/ano-2/trim-6/licao-54-derivadas-implicitas.mdx,"""licao-54-derivadas-implicitas""","""Lição 54 — Derivada implícita""",1112,40,5,7,40,40,40,7,0.17,22,6,8,3,1,True,True,2,0,
content/aulas/ano-2/trim-6/licao-55-derivadas-superiores.mdx,"""licao-55-derivadas-superiores""","""Lição 55 — Derivadas de ordem superior""",1170,40,5,7,40,40,40,6,0.15,24,3,8,3,2,True,True,2,0,
content/aulas/ano-2/trim-6/licao-56-derivadas-inversas.mdx,"""licao-56-derivadas-inversas""","""Lição 56 — Derivadas de funções inversas""",1259,40,5,7,40,40,40,17,0.42,26,3,8,2,1,True,True,2,0,
content/aulas/ano-2/trim-6/licao-57-aproximacao-linear.mdx,"""licao-57-aproximacao-linear""","""Lição 57 — Aproximação linear e diferencial""",1241,40,5,7,40,40,40,14,0.35,22,8,4,4,2,True,True,3,0,
content/aulas/ano-2/trim-6/licao-58-taxas-relacionadas.mdx,"""licao-58-taxas-relacionadas""","""Lição 58 — Taxas relacionadas""",1154,40,5,7,40,40,40,6,0.15,20,10,7,0,3,True,True,3,1,MIX-OFF-desafio(0%)
content/aulas/ano-2/trim-6/licao-59-diferenciabilidade.mdx,"""licao-59-diferenciabilidade""","""Lição 59 — Diferenciabilidade e suavidade""",1220,40,5,7,40,40,40,7,0.17,22,9,5,2,2,True,True,3,0,
content/aulas/ano-2/trim-6/licao-60-consolidacao-trim-6.mdx,"""licao-60-consolidacao-trim-6""","""Lição 60 — Consolidação Trim 6: derivadas""",1370,50,5,7,50,50,50,16,0.32,29,6,5,9,1,True,True,3,0,
content/aulas/ano-2/trim-7/licao-61-maximos-minimos.mdx,"""licao-61-maximos-minimos""","""Lição 61 — Máximos e mínimos""",903,30,5,7,30,30,30,3,0.1,21,3,3,1,2,True,True,3,0,
content/aulas/ano-2/trim-7/licao-62-otimizacao.mdx,"""licao-62-otimizacao""","""Lição 62 — Otimização aplicada""",858,30,5,7,30,30,30,3,0.1,20,2,5,1,2,True,True,3,0,
content/aulas/ano-2/trim-7/licao-63-esboco-graficos.mdx,"""licao-63-esboco-graficos""","""Lição 63 — Esboço de gráficos""",864,30,5,7,30,30,30,2,0.07,25,2,0,2,1,True,True,2,2,FEW-PASSOS(2/~7)|MIX-OFF-modelagem(0%)
content/aulas/ano-2/trim-7/licao-64-l-hopital.mdx,"""licao-64-l-hopital""","""Lição 64 — Regra de L'Hôpital""",815,30,5,7,30,30,30,3,0.1,25,2,0,1,2,True,True,2,1,MIX-OFF-modelagem(0%)
content/aulas/ano-2/trim-7/licao-65-taylor.mdx,"""licao-65-taylor""","""Lição 65 — Polinômio de Taylor""",1072,40,5,7,40,40,40,4,0.1,22,4,8,2,4,True,True,2,0,
content/aulas/ano-2/trim-7/licao-66-concavidade.mdx,"""licao-66-concavidade""","""Lição 66 — Concavidade e pontos de inflexão""",1072,40,5,7,40,40,40,3,0.07,20,4,10,2,4,True,True,2,1,FEW-PASSOS(3/~10)
content/aulas/ano-2/trim-7/licao-67-economia-derivadas.mdx,"""licao-67-economia-derivadas""","""Lição 67 — Análise marginal em economia""",1079,40,5,7,40,40,40,4,0.1,16,3,16,0,5,True,True,2,2,MIX-OFF-modelagem(40%)|MIX-OFF-desafio(0%)
content/aulas/ano-2/trim-7/licao-68-cinematica.mdx,"""licao-68-cinematica""","""Lição 68 — Cinemática: posição, velocidade e aceleração""",1118,40,5,7,40,40,40,5,0.12,12,3,21,2,2,True,True,3,1,MIX-OFF-modelagem(52%)
content/aulas/ano-2/trim-7/licao-69-newton-raphson.mdx,"""licao-69-newton-raphson""","""Lição 69 — Método de Newton-Raphson""",932,32,5,7,32,32,32,4,0.12,12,5,8,3,4,True,True,2,0,
content/aulas/ano-2/trim-7/licao-70-consolidacao-trim-7.mdx,"""licao-70-consolidacao-trim-7""","""Lição 70 — Consolidação Trim 7: máximos, L'Hôpital, Taylor, Newton""",1260,40,5,7,40,40,40,9,0.23,15,2,15,5,3,True,True,2,0,
content/aulas/ano-2/trim-8/licao-71-medidas-centrais.mdx,"""licao-71-medidas-centrais""","""Lição 71 — Medidas de tendência central: média, mediana, moda""",1155,45,5,7,45,45,45,2,0.04,41,4,0,0,0,True,True,3,4,FEW-PASSOS(2/~11)|MIX-OFF-modelagem(0%)|MIX-OFF-desafio(0%)|MIX-OFF-demonstracao(0%)
content/aulas/ano-2/trim-8/licao-72-variancia.mdx,"""licao-72-variancia""","""Lição 72 — Variância e desvio padrão""",1155,45,5,7,45,45,45,8,0.18,28,6,7,2,2,True,True,3,0,
content/aulas/ano-2/trim-8/licao-73-quartis.mdx,"""licao-73-quartis""","""Lição 73 — Quartis, percentis e boxplot""",1133,45,5,7,45,45,45,9,0.2,30,7,4,2,2,True,True,3,0,
content/aulas/ano-2/trim-8/licao-74-va-discreta.mdx,"""licao-74-va-discreta""","""Lição 74 — Variável aleatória discreta""",903,42,5,7,42,42,42,9,0.21,21,5,11,3,2,True,True,3,0,
content/aulas/ano-2/trim-8/licao-75-binomial.mdx,"""licao-75-binomial""","""Lição 75 — Distribuição binomial""",886,42,5,7,42,42,42,10,0.24,26,2,8,4,2,True,False,3,1,NO-FONTES-SECTION
content/aulas/ano-2/trim-8/licao-76-normal.mdx,"""licao-76-normal""","""Lição 76 — Distribuição normal""",944,42,5,7,42,42,42,8,0.19,23,4,13,1,1,True,True,3,0,
